Player,Year,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
Nicolas Massu,2000,41,20,21,0.4878048780487805,0.06514206514206514,0.042966042966042964,0.5526680526680526,0.7078369905956113,0,0.6122661122661123,0.37575757575757573,0,0.9691120318466162
Fredrik Jonsson,2000,17,4,13,0.23529411764705882,0.07215686274509804,0.021176470588235293,0.5866666666666667,0.6925133689839572,0,0.6141176470588235,0.33386709367493994,0,0.8652043586088383
Christian Ruud,2000,24,8,16,0.3333333333333333,0.04465799886941775,0.041266252119841716,0.5771622385528548,0.6385896180215475,0,0.5698134539287734,0.3858356940509915,0,0.89690320995559
Andrea Gaudenzi,2000,23,7,16,0.30434782608695654,0.04349951124144673,0.041544477028347994,0.5806451612903226,0.6708754208754208,0,0.5943304007820137,0.3842685370741483,0,0.9472450925948284
Andreas Vinciguerra,2000,46,26,20,0.5652173913043478,0.06494992846924177,0.03805436337625179,0.5628040057224607,0.7076766649720386,0,0.6180257510729614,0.40225890529973934,0,1.053104774548756
Dominik Hrbaty,2000,67,39,28,0.582089552238806,0.08540372670807453,0.05357142857142857,0.5425077639751553,0.7438282647584973,0,0.6364518633540373,0.39503175196115053,0,1.0866009536058983
Edwin Kempes,2000,5,3,2,0.6,0.05637982195845697,0.011869436201780416,0.629080118694362,0.7216981132075472,0,0.6617210682492581,0.43315508021390375,0,1.280467210807768
Adrian Voinea,2000,28,9,19,0.32142857142857145,0.08043788672060924,0.04807234650166587,0.5744883388862446,0.7009113504556752,0,0.5978105663969538,0.3477626459143969,0,0.8646737503741395
Dennis Van Scheppingen,2000,3,1,2,0.3333333333333333,0.038461538461538464,0.04945054945054945,0.5989010989010989,0.8073394495412844,0,0.6593406593406593,0.3197969543147208,0,0.9387588013754707
Adrian Garcia,2000,3,2,1,0.6666666666666666,0.03389830508474576,0.01694915254237288,0.6666666666666666,0.7288135593220338,0,0.6836158192090396,0.42780748663101603,0,1.3521772345301757
Alex Calatrava,2000,27,17,10,0.6296296296296297,0.09687034277198212,0.022851465474416296,0.5747640337804272,0.7726879861711322,0,0.6527570789865872,0.37185929648241206,0,1.0708909353635128
Raemon Sluiter,2000,14,7,7,0.5,0.07250755287009064,0.04305135951661632,0.5725075528700906,0.7216358839050132,0,0.6457703927492447,0.34493426140757927,0,0.9737589810312047
Arnaud Di Pasquale,2000,36,12,24,0.3333333333333333,0.02931266846361186,0.05188679245283019,0.6526280323450134,0.6411977284460506,0,0.5862533692722371,0.367816091954023,0,0.888988730390505
Sergio Roitman,2000,2,1,1,0.5,0.011560693641618497,0.005780346820809248,0.6994219653179191,0.6528925619834711,0,0.5953757225433526,0.37967914438502676,0,0.9383498854087089
Jan Siemerink,2000,21,7,14,0.3333333333333333,0.07810650887573964,0.07633136094674556,0.5360946745562131,0.739514348785872,0,0.6165680473372781,0.34547662416514874,0,0.9010115661097243
Nikolay Davydenko,2000,4,3,1,0.75,0.016181229773462782,0.032362459546925564,0.7378640776699029,0.6403508771929824,0,0.5954692556634305,0.429042904290429,0,1.0605940594059406
Sargis Sargsian,2000,38,13,25,0.34210526315789475,0.05215889464594128,0.041105354058721934,0.6041450777202072,0.6672384219554031,0,0.585146804835924,0.3915047744484689,0,0.9437188359936031
Alberto Berasategui,2000,18,4,14,0.2222222222222222,0.006074411541381929,0.05998481397114654,0.7274107820804859,0.569937369519833,0,0.510250569476082,0.3992307692307692,0,0.8151735241502684
Paul Henri Mathieu,2000,4,2,2,0.5,0.05090909090909091,0.04363636363636364,0.5418181818181819,0.6845637583892618,0,0.6181818181818182,0.4098939929328622,0,1.0735318862527343
Michel Kratochvil,2000,16,7,9,0.4375,0.044195250659630606,0.07519788918205805,0.5230870712401056,0.7061790668348046,0,0.600263852242744,0.39735560194850383,0,0.9940447071847058
Agustin Calleri,2000,16,11,5,0.6875,0.11418439716312057,0.04184397163120567,0.48226950354609927,0.8,0,0.6624113475177305,0.3842857142857143,0,1.1383253301320526
Federico Luzzi,2000,4,2,2,0.5,0.012422360248447204,0.031055900621118012,0.6614906832298136,0.6431924882629108,0,0.5714285714285714,0.39886039886039887,0,0.9306742640075973
Fernando Gonzalez,2000,13,8,5,0.6153846153846154,0.08568329718004339,0.1193058568329718,0.571583514099783,0.7400379506641366,0,0.6203904555314533,0.3978835978835979,0,1.0481390778533635
Yevgeny Kafelnikov,2000,92,59,33,0.6413043478260869,0.06290904234005609,0.05209028983571524,0.5544276746360358,0.7188629245964828,0,0.6205422732736744,0.3975257731958763,0,1.0476154396049018
Nicolas Lapentti,2000,64,37,27,0.578125,0.08173741362290227,0.041855873642645605,0.579466929911155,0.7223168654173765,0,0.626258637709773,0.38523925385239255,0,1.0307643004555564
Emilio Benfele Alvarez,2000,11,5,6,0.45454545454545453,0.04456521739130435,0.030434782608695653,0.5728260869565217,0.698292220113852,0,0.6195652173913043,0.35216346153846156,0,0.9256868131868132
Mariano Zabaleta,2000,42,17,25,0.40476190476190477,0.06351981351981352,0.04487179487179487,0.5023310023310024,0.7140371229698376,0,0.6051864801864801,0.3776119402985075,0,0.9564311284903892
Daniel Elsner,2000,9,4,5,0.4444444444444444,0.05588235294117647,0.045588235294117645,0.5411764705882353,0.6494565217391305,0,0.5882352941176471,0.3696682464454976,0,0.8977657413676371
Marc Kevin Goellner,2000,13,5,8,0.38461538461538464,0.14027630180658873,0.053134962805526036,0.5302869287991498,0.7755511022044088,0,0.6461211477151966,0.35268817204301073,0,0.9966353450224417
